,trial,opinion,activated,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,150268.18463639225,4,min_opinion_solution,1,0.26653122901916504,polarized,random,True
1,1,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
2,2,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
3,3,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
4,4,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
5,5,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
6,6,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
7,7,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
8,8,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
9,9,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
10,10,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
11,11,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
12,12,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
13,13,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
14,14,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
15,15,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
16,16,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
17,17,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
18,18,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
19,19,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
20,20,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
21,21,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
22,22,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
23,23,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
24,24,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
25,25,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
26,26,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
27,27,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
28,28,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
29,29,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
30,30,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
31,31,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
32,32,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
33,33,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
34,34,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
35,35,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
36,36,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
37,37,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
38,38,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
39,39,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
40,40,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
41,41,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
42,42,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
43,43,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
44,44,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
45,45,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
46,46,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
47,47,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
48,48,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
49,49,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
50,50,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
51,51,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
52,52,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
53,53,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
54,54,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
55,55,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
56,56,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
57,57,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
58,58,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
59,59,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
60,60,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
61,61,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
62,62,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
63,63,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
64,64,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
65,65,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
66,66,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
67,67,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
68,68,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
69,69,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
70,70,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
71,71,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
72,72,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
73,73,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
74,74,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
75,75,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
76,76,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
77,77,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
78,78,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
79,79,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
80,80,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
81,81,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
82,82,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
83,83,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
84,84,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
85,85,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
86,86,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
87,87,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
88,88,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
89,89,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
90,90,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
91,91,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
92,92,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
93,93,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
94,94,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
95,95,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
96,96,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
97,97,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
98,98,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
99,99,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
100,100,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
101,101,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
102,102,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
103,103,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
104,104,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
105,105,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
106,106,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
107,107,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
108,108,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
109,109,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
110,110,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
111,111,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
112,112,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
113,113,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
114,114,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
115,115,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
116,116,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
117,117,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
118,118,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
119,119,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
120,120,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
121,121,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
122,122,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
123,123,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
124,124,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
125,125,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
126,126,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
127,127,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
128,128,150266.5669724303,0,min_opinion_solution,1,0.26653122901916504,polarized,random,True
